City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Pentecoste,BR,81.84,scattered clouds,-3.7928,-39.2703,Motel Big love
329,Robertsport,LR,82.42,broken clouds,6.7533,-11.3686,Kwepunha Retreat
332,Bushehr,IR,78.89,dust,28.9684,50.8385,Yas Hotel
335,Vanimo,PG,78.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
338,Kamina,CD,80.94,overcast clouds,-8.7386,24.9906,Guest House Florvia
353,Nakhon Phanom,TH,78.6,clear sky,17.3333,104.4167,ป่ายางรีสอร์ท
361,Mapiripan,CO,78.75,overcast clouds,2.8892,-72.1256,Monserrate
366,Faanui,PF,82.0,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
367,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
368,Panaba,MX,75.87,clear sky,21.2833,-88.2667,Hotel California
386,Chengannur,IN,78.93,overcast clouds,9.3333,76.6333,Hotel Santhi Palace
389,Puerto Ayacucho,VE,84.97,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
396,Basco,PH,79.16,broken clouds,20.4487,121.9702,Nathaniel's Lodge
405,Japura,ID,75.31,broken clouds,-0.3167,102.35,Rumah mbah Jamah
406,Camopi,GF,79.02,overcast clouds,3.1655,-52.3158,La pousada
407,Asosa,ET,82.09,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
408,Benguela,AO,81.16,light rain,-12.5763,13.4055,Hotel Praia Morena
411,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
415,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
416,Compostela,PH,75.78,overcast clouds,7.6731,126.0889,Cocos hotel
420,Zhuhai,CN,79.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
422,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
428,Kieta,PG,79.16,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
430,Asbe Teferi,ET,77.81,broken clouds,9.0833,40.8667,Megenagna hotel
437,Foshan,CN,77.04,clear sky,23.0268,113.1315,Crowne Plaza Foshan
453,Las Tunas,CU,78.57,broken clouds,20.9617,-76.9511,Hotel Cadillac
458,Ifakara,TZ,84.06,overcast clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
460,Ogembo,KE,79.39,broken clouds,-0.7984,34.7253,Sameta Lodge and Hotel
471,Culebra,PR,82.99,scattered clouds,18.303,-65.301,Palmetto Guesthouse
472,Sorong,ID,79.66,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
485,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
493,Innisfail,AU,77.18,overcast clouds,-17.5333,146.0333,Moondarra Motel
494,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
498,Moron,AR,75.94,clear sky,-34.6534,-58.6198,Hotel Morón
506,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
508,Tanggul,ID,75.83,scattered clouds,-8.1645,113.4525,Padepokan HM Arum Sabil
509,Mahanoro,MG,78.48,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
510,Eravur,LK,80.6,moderate rain,7.7733,81.6095,Farhan KING House
511,Sarangani,PH,82.11,overcast clouds,5.4033,125.4636,Ballistic Islet
518,Gweta,BW,76.73,light rain,-20.1833,25.2333,Gweta Lodge
519,Ocos,GT,83.19,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
520,Bima,ID,75.47,overcast clouds,-8.4667,118.7167,Lambitu Hotel
522,Presidencia Roque Saenz Pena,AR,77.41,broken clouds,-26.7852,-60.4388,Hotel Gualok
523,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
529,Meulaboh,ID,79.38,heavy intensity rain,4.1363,96.1285,Kost Pria
531,Acarau,BR,80.6,overcast clouds,-2.8856,-40.12,castelo pizzaria
532,Angoche,MZ,81.12,light rain,-16.2325,39.9086,Guest House HESADA
534,Sao Gabriel Da Cachoeira,BR,83.86,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
