City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Charleston,US,2022-04-10 03:35:47,32.7766,-79.9309,47.01,69,0,5.75
229,Ixtapa,MX,2022-04-10 03:35:47,20.7,-105.2,74.43,83,0,3.44
230,Kailua,US,2022-04-10 03:35:47,21.4022,-157.7394,80.58,78,75,11.5
231,San Andres,CO,2022-04-10 03:35:47,12.5847,-81.7006,80.62,78,40,13.8
232,Kysyl-Syr,RU,2022-04-10 03:35:48,63.8986,122.7617,26.82,82,100,7.43
233,Quesnel,CA,2022-04-10 03:35:48,52.9999,-122.5029,32.5,64,0,3.44
234,Bathsheba,BB,2022-04-10 03:35:48,13.2167,-59.5167,79.41,73,40,20.71
235,Jalu,LY,2022-04-10 03:35:49,29.0331,21.5482,67.84,25,75,5.73
236,Erenhot,CN,2022-04-10 03:35:49,43.6475,111.9767,57.87,17,64,7.16
237,Geraldton,AU,2022-04-10 03:35:49,-28.7667,114.6,72.01,49,40,11.5
238,Vangaindrano,MG,2022-04-10 03:35:50,-23.35,47.6,73.96,82,70,4.34
239,Husavik,IS,2022-04-10 03:35:50,66.0449,-17.3389,22.24,79,97,7.16
240,Sao Joao Da Barra,BR,2022-04-10 03:35:50,-21.6403,-41.0511,76.66,90,100,7.23
241,Brigham City,US,2022-04-10 03:31:03,41.5102,-112.0155,44.06,20,0,12.66
242,Gijon,ES,2022-04-10 03:35:51,43.5357,-5.6615,51.01,92,79,5.01
243,Kavaratti,IN,2022-04-10 03:35:51,10.5669,72.642,84.31,72,100,8.03
244,Vyshchetarasivka,UA,2022-04-10 03:35:51,47.5685,34.881,46.65,86,100,10.11
245,Khatanga,RU,2022-04-10 03:35:52,71.9667,102.5,12.7,90,98,1.41
246,Ambon,ID,2022-04-10 03:35:52,-3.6954,128.1814,87.94,70,40,4.61
247,Urucui,BR,2022-04-10 03:35:52,-7.2294,-44.5561,74.86,90,33,1.97
248,Lynn Haven,US,2022-04-10 03:31:28,30.2455,-85.6483,60.98,63,0,1.01
249,Itarema,BR,2022-04-10 03:35:53,-2.9248,-39.9167,75.6,90,89,6.67
250,Waingapu,ID,2022-04-10 03:35:53,-9.6567,120.2641,86.34,60,49,5.48
251,Encruzilhada,BR,2022-04-10 03:35:54,-15.5314,-40.9094,65.16,96,27,3.09
252,Tiksi,RU,2022-04-10 03:35:54,71.6872,128.8694,-4.65,91,76,7.56
253,Mae Hong Son,TH,2022-04-10 03:35:54,19.3003,97.9685,84.34,65,20,3.44
254,Killybegs,IE,2022-04-10 03:35:54,54.6333,-8.45,41.77,70,100,9.01
255,Faanui,PF,2022-04-10 03:35:55,-16.4833,-151.75,82.44,70,15,13.09
256,Bilma,NE,2022-04-10 03:35:55,18.6853,12.9164,83.1,7,0,6.93
257,Koygorodok,RU,2022-04-10 03:35:55,60.445,50.9968,38.07,97,100,9.1
258,Suluq,LY,2022-04-10 03:35:56,31.6682,20.2521,60.24,30,0,8.16
259,Cherskiy,RU,2022-04-10 03:35:56,68.75,161.3,0.97,87,100,6.93
260,Wembley,AU,2022-04-10 03:35:56,-31.9333,115.8,73.09,50,40,14.97
261,Meulaboh,ID,2022-04-10 03:33:34,4.1363,96.1285,84.36,70,58,2.62
262,Henties Bay,NA,2022-04-10 03:34:54,-22.116,14.2845,60.33,78,0,4.5
263,Selma,US,2022-04-10 03:35:57,36.5708,-119.6121,71.65,29,0,11.74
264,Iqaluit,CA,2022-04-10 03:31:46,63.7506,-68.5145,20.93,85,100,9.22
265,Yenagoa,NG,2022-04-10 03:35:57,4.9247,6.2642,75.6,92,99,3.31
266,Mawlaik,MM,2022-04-10 03:35:58,23.6333,94.4167,94.91,29,0,3.02
267,Hamilton,US,2022-04-10 03:34:01,39.1834,-84.5333,39.83,77,100,5.75
268,Sept-Iles,CA,2022-04-10 03:31:46,50.2001,-66.3821,32.43,95,100,4.61
269,Asyut,EG,2022-04-10 03:32:29,27.181,31.1837,60.98,44,2,7.16
270,Bayan,CN,2022-04-10 03:35:58,46.0833,127.4,70.45,35,100,21.41
271,Gizo,SB,2022-04-10 03:35:58,-8.103,156.8419,84.7,65,100,1.83
272,Shakawe,BW,2022-04-10 03:35:59,-18.3667,21.85,64.04,85,0,6.04
273,Nanortalik,GL,2022-04-10 03:35:59,60.1432,-45.2371,28.89,85,65,5.28
274,Ilulissat,GL,2022-04-10 03:35:59,69.2167,-51.1,8.62,72,80,0.0
275,Okha,RU,2022-04-10 03:36:00,53.5739,142.9478,28.09,75,62,12.21
276,Torbay,CA,2022-04-10 03:36:00,47.6666,-52.7314,33.58,96,100,12.66
277,Westport,US,2022-04-10 03:36:00,41.1415,-73.3579,49.01,87,40,5.75
278,Parainen,FI,2022-04-10 03:36:01,60.3067,22.301,35.11,95,99,12.15
279,Svetlogorsk,BY,2022-04-10 03:36:01,52.6333,29.7333,36.19,91,100,5.06
280,Saquarema,BR,2022-04-10 03:36:01,-22.92,-42.5103,74.19,95,97,2.46
281,Aripuana,BR,2022-04-10 03:36:02,-9.1667,-60.6333,72.88,98,100,0.83
282,Verkhnyaya Toyma,RU,2022-04-10 03:36:02,62.2349,44.9985,38.14,99,98,9.13
283,Aksarka,RU,2022-04-10 03:36:02,66.5606,67.7975,26.6,96,100,8.88
284,Sitka,US,2022-04-10 03:36:03,57.0531,-135.33,42.69,65,75,12.66
285,Saint-Paul,RE,2022-04-10 03:36:03,-21.0096,55.2707,78.91,77,10,1.12
286,Mugur-Aksy,RU,2022-04-10 03:36:03,50.35,90.5,20.01,50,21,6.62
287,Naze,JP,2022-04-10 03:36:04,28.3667,129.4833,68.92,88,94,10.92
288,Mantua,IT,2022-04-10 03:36:04,45.1667,10.7833,41.95,88,22,3.0
289,Arroyo,ES,2022-04-10 03:36:04,41.6096,-4.7969,44.64,79,75,3.44
290,Ravar,IR,2022-04-10 03:36:04,31.2656,56.8055,77.97,12,100,5.53
291,Kaoma,ZM,2022-04-10 03:36:05,-14.7833,24.8,62.94,98,100,8.05
