City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Coahuayana,MX,2022-04-10 13:44:48,18.7333,-103.6833,79.21,50,42,1.25,scattered clouds
215,Visby,SE,2022-04-10 13:42:02,57.6409,18.296,49.05,53,0,10.36,clear sky
216,Pali,IN,2022-04-10 13:44:31,25.7667,73.3333,94.84,10,3,7.49,clear sky
217,Portland,US,2022-04-10 13:40:32,45.5234,-122.6762,41.74,88,100,7.0,overcast clouds
218,Gat,IL,2022-04-10 13:44:49,31.61,34.7642,82.4,41,0,13.82,clear sky
219,Timra,SE,2022-04-10 13:44:49,62.487,17.3257,42.48,70,100,12.66,overcast clouds
220,Ixtapa,MX,2022-04-10 13:44:49,20.7,-105.2,71.22,92,1,1.43,clear sky
221,Henties Bay,NA,2022-04-10 13:44:50,-22.116,14.2845,68.34,61,1,9.82,clear sky
222,Talnakh,RU,2022-04-10 13:44:50,69.4865,88.3972,2.21,99,97,1.14,overcast clouds
223,Lubango,AO,2022-04-10 13:44:50,-14.9172,13.4925,78.66,34,75,0.0,broken clouds
224,Butaritari,KI,2022-04-10 13:44:50,3.0707,172.7902,80.04,78,100,8.86,moderate rain
225,East London,ZA,2022-04-10 13:42:43,-33.0153,27.9116,70.74,83,20,11.5,few clouds
226,Itaituba,BR,2022-04-10 13:44:51,-4.2761,-55.9836,75.36,100,100,0.0,heavy intensity rain
227,Bonavista,CA,2022-04-10 13:44:51,48.6499,-53.1147,35.96,95,100,10.31,overcast clouds
228,Crotone,IT,2022-04-10 13:44:51,39.0851,17.1178,58.95,54,40,14.97,scattered clouds
229,Funadhoo,MV,2022-04-10 13:44:52,6.15,73.2667,85.64,69,74,13.24,broken clouds
230,Dunedin,NZ,2022-04-10 13:40:33,-45.8742,170.5036,53.8,83,6,1.99,clear sky
231,Bhatkal,IN,2022-04-10 13:44:52,13.9667,74.5667,83.59,77,97,7.36,overcast clouds
232,Libertador General San Martin,AR,2022-04-10 13:44:52,-23.8064,-64.7876,73.98,82,88,2.19,overcast clouds
233,Green River,US,2022-04-10 13:44:53,41.5286,-109.4662,27.99,38,35,11.99,scattered clouds
234,Vilhena,BR,2022-04-10 13:44:53,-12.7406,-60.1458,80.82,78,20,8.05,few clouds
235,Hovd,MN,2022-04-10 13:44:54,48.0056,91.6419,31.32,38,2,9.69,clear sky
236,Phalaborwa,ZA,2022-04-10 13:44:54,-23.943,31.1411,76.59,50,100,10.98,overcast clouds
237,Gilgit,PK,2022-04-10 13:44:54,35.9221,74.3087,69.3,36,8,3.0,clear sky
238,Faya,SA,2022-04-10 13:44:55,18.3851,42.4509,80.71,30,0,12.46,clear sky
239,Kibala,TD,2022-04-10 13:44:55,9.1104,18.3463,91.35,46,20,4.61,few clouds
240,Lorengau,PG,2022-04-10 13:44:55,-2.0226,147.2712,81.03,82,99,9.82,overcast clouds
241,Sisimiut,GL,2022-04-10 13:44:56,66.9395,-53.6735,24.33,63,100,1.72,overcast clouds
242,Tasiilaq,GL,2022-04-10 13:44:56,65.6145,-37.6368,24.96,72,72,2.15,broken clouds
243,Ocseny,HU,2022-04-10 13:44:56,46.3137,18.7575,51.96,39,95,19.37,overcast clouds
244,Pierre,US,2022-04-10 13:44:57,44.3683,-100.351,47.05,58,100,15.01,overcast clouds
245,Tottori,JP,2022-04-10 13:44:57,35.5,134.2333,59.47,67,100,5.64,overcast clouds
246,Paamiut,GL,2022-04-10 13:44:57,61.994,-49.6678,32.4,72,100,8.93,overcast clouds
247,Ruteng,ID,2022-04-10 13:44:58,-8.6136,120.4721,60.82,87,100,1.57,overcast clouds
248,Klaksvik,FO,2022-04-10 13:44:58,62.2266,-6.589,36.52,60,99,11.43,overcast clouds
249,Adre,TD,2022-04-10 13:44:58,13.4667,22.2,100.51,13,51,11.14,broken clouds
250,Havre-Saint-Pierre,CA,2022-04-10 13:44:59,50.2334,-63.5986,34.16,100,100,4.61,overcast clouds
251,Egvekinot,RU,2022-04-10 13:43:35,66.3167,-179.1667,20.79,98,100,8.3,light snow
252,Eichstatt,DE,2022-04-10 13:44:59,48.8833,11.1833,48.49,49,40,17.27,scattered clouds
253,Puerto Colombia,CO,2022-04-10 13:44:59,10.9878,-74.9547,84.29,72,100,20.49,overcast clouds
